,ID,Name,Position,Overall,Potential,BS,IR,PAC,SHO,PAS,DRI,DEF,PHY,Value,Wage,TotalStats
62,202652,R. Sterling,RW LW,86,89,436,3,93,75,77,88,47,56,€56.5M,€195K,2036
63,201942,Roberto Firmino,CF ST CAM,86,87,465,3,77,83,80,86,61,78,€53M,€195K,2187
64,201535,R. Varane,CB,86,91,420,3,84,45,61,64,86,80,€50M,€210K,1895
65,199556,M. Verratti,CM CDM,86,89,443,3,65,60,84,89,79,66,€55M,€135K,2149
66,192505,R. Lukaku,ST,86,88,435,3,83,84,75,73,35,85,€55M,€215K,2011
67,191043,Alex Sandro,LB LM,86,86,472,3,85,65,77,80,82,83,€36.5M,€160K,2198
68,190483,Douglas Costa,LM RW LW,86,86,450,3,95,75,81,91,43,65,€46.5M,€175K,2111
69,189596,T. Müller,CAM RM RW CF,86,86,436,4,74,83,80,78,50,71,€45M,€135K,2097
70,189509,Thiago,CM CAM CDM,86,86,451,3,73,74,84,90,67,63,€45.5M,€130K,2190
71,184432,Azpilicueta,RB CB,86,86,446,3,76,55,78,73,87,77,€35M,€175K,2114
72,184344,L. Bonucci,CB,86,86,425,3,61,58,69,70,87,80,€30M,€160K,1978
73,184087,T. Alderweireld,CB,86,87,427,3,64,57,73,66,89,78,€39M,€150K,2047
74,180206,M. Pjanić,CM CDM,86,86,451,3,66,70,86,86,73,70,€44M,€180K,2182
75,177509,M. Benatia,CB,86,86,405,3,71,45,54,64,87,84,€30M,€160K,1803
76,176635,M. Özil,CAM RM RW,86,86,396,4,70,73,86,85,24,58,€43.5M,€190K,1911
77,135507,Fernandinho,CDM,86,86,460,3,67,74,78,79,83,79,€18M,€185K,2183
78,41,Iniesta,CM LM,86,86,431,4,68,70,86,89,61,57,€21.5M,€21K,2058
79,232363,M. Škriniar,CB,85,92,400,1,72,41,57,61,87,82,€46.5M,€82K,1800
80,223848,S. Milinković-Savić,CM CAM,85,90,472,2,69,79,80,83,77,84,€50.5M,€73K,2206
81,216594,N. Fekir,CAM,85,89,443,3,79,82,81,89,33,79,€50M,€92K,2102
82,212622,J. Kimmich,RB CM CDM,85,88,459,3,73,68,83,82,78,75,€40.5M,€92K,2200
83,211117,D. Alli,CAM,85,90,467,3,75,81,80,82,71,78,€51.5M,€125K,2196
84,208421,Saúl,CM LM RM,85,90,467,3,73,77,79,82,78,78,€50.5M,€77K,2196
85,204485,R. Mahrez,RW RM,85,85,431,3,85,79,81,90,37,59,€40.5M,€205K,2028
86,200104,H. Son,LM ST,85,86,446,3,87,86,77,86,42,68,€46M,€140K,2097
87,197445,D. Alaba,LB CB CM,85,87,472,4,83,73,80,80,81,75,€38M,€110K,2261
88,193747,Koke,LM CM RM,85,86,462,3,69,75,88,82,69,79,€45M,€88K,2175
89,193301,A. Lacazette,ST,85,86,437,3,83,84,72,84,40,74,€45M,€180K,2060
90,192774,K. Manolas,CB,85,86,371,3,83,18,42,60,86,82,€36.5M,€96K,1639
91,192366,N. Otamendi,CB,85,85,403,3,59,57,63,60,84,80,€28.5M,€170K,1916
92,189513,Parejo,CM,85,85,431,2,47,79,88,78,69,70,€37M,€66K,2119
93,187961,Paulinho,CM CAM CDM RM,85,85,475,3,73,81,77,81,79,84,€37M,€235K,2245
94,186153,W. Szczęsny,GK,85,87,458,3,85,81,71,87,49,85,€32M,€125K,1270
95,184941,A. Sánchez,LW LM ST,85,85,450,4,82,81,78,87,45,77,€37.5M,€215K,2172
96,184267,Y. Brahimi,LM,85,85,423,3,80,75,78,90,41,59,€39M,€28K,2030
97,183907,J. Boateng,CB,85,85,425,4,70,50,72,65,85,83,€30M,€115K,1948
98,181872,A. Vidal,CDM CM,85,85,461,4,57,80,79,78,84,83,€26M,€205K,2230
99,181458,I. Perišić,LM,85,85,469,3,86,80,80,83,62,78,€37.5M,€110K,2199
100,180930,E. Džeko,ST,85,85,416,3,66,85,71,75,46,73,€30.5M,€115K,1931
101,179846,S. Khedira,CM CDM,85,85,455,3,57,76,80,78,81,83,€33M,€160K,2154
102,179844,Diego Costa,ST,85,85,434,4,75,83,64,76,49,87,€38.5M,€100K,2003
103,178518,R. Nainggolan,CM CAM,85,85,480,3,75,79,78,82,83,83,€35.5M,€105K,2278
104,177413,A. Witsel,CDM CM,85,85,468,3,71,74,80,79,81,83,€30M,€84K,2208
105,170890,B. Matuidi,CDM CM,85,85,468,3,78,68,77,79,83,83,€26M,€145K,2196
106,168609,Miranda,CB,85,85,409,3,68,49,60,68,88,76,€15.5M,€96K,1879
107,165153,K. Benzema,ST,85,85,423,4,76,80,78,82,32,75,€37M,€240K,2000
108,164169,Filipe Luís,LB,85,85,453,3,75,62,78,78,81,79,€21.5M,€81K,2145
109,139720,V. Kompany,CB,85,85,401,4,54,53,65,64,84,81,€22M,€170K,1886
110,120533,Pepe,CB,85,85,403,4,68,51,57,61,85,81,€0,€0,1832
111,41236,Z. Ibrahimović,ST,85,85,412,5,59,86,77,78,34,78,€14M,€15K,2012
112,220834,Marco Asensio,LW RW,84,89,435,3,83,82,82,84,43,61,€41.5M,€195K,2051
113,220793,D. Sánchez,CB,84,88,410,2,76,45,57,66,84,82,€34M,€105K,1809
114,216460,J. Giménez,CB RB,84,88,386,2,70,45,51,52,86,82,€34M,€63K,1758
115,212462,Alex Telles,LB,84,87,477,3,85,71,83,81,80,77,€32M,€22K,2259
116,212218,A. Laporte,CB,84,88,409,2,64,50,69,63,86,77,€34M,€135K,1924
117,212198,Bruno Fernandes,CAM CM,84,88,460,2,77,80,84,83,64,72,€40.5M,€22K,2223
118,212190,N. Süle,CB,84,90,377,2,70,41,52,49,83,82,€36.5M,€84K,1648
119,211300,A. Martial,LW ST LM,84,90,444,3,89,83,73,86,41,72,€42.5M,€165K,2060
120,209499,Fabinho,CDM,84,88,461,3,71,69,78,77,83,83,€34M,€120K,2164
121,207865,Marquinhos,CB CDM,84,89,410,3,75,38,69,67,85,76,€35.5M,€90K,1879
123,207566,William Carvalho,CDM CM,84,86,426,3,51,55,79,75,82,84,€31.5M,€38K,1985
124,205498,Jorginho,CM,84,85,444,2,72,64,84,82,71,71,€36M,€155K,2136
125,204970,F. Thauvin,RM RW,84,87,441,2,83,81,81,85,42,69,€39M,€72K,2091
126,204963,Carvajal,RB,84,87,439,3,82,45,73,79,82,78,€31.5M,€185K,2040
127,202556,M. Depay,CF ST CAM,84,89,443,3,87,81,80,84,32,79,€42M,€93K,2083
128,199482,A. Lopes,GK,84,86,474,2,86,80,75,88,64,81,€25M,€72K,1355
129,198176,S. de Vrij,CB,84,86,397,3,68,41,60,66,86,76,€31.5M,€88K,1808
130,198009,M. Perin,GK,84,89,462,2,81,85,71,90,56,79,€29.5M,€105K,1254
131,193082,J. Cuadrado,RM RW,84,84,465,3,91,74,77,88,66,69,€29.5M,€150K,2163
132,192629,Iago Aspas,ST RW,84,84,426,2,81,84,76,85,35,65,€30M,€45K,2057
133,192563,B. Leno,GK,84,87,457,3,84,82,75,82,49,85,€27M,€115K,1278
134,191202,N. Matić,CDM CM,84,84,443,3,56,71,77,75,81,83,€24M,€165K,2091
135,190941,L. Hrádecký,GK,84,84,443,2,85,79,68,88,41,82,€22M,€74K,1132
136,190584,Illarramendi,CM CDM,84,84,439,2,61,71,80,79,76,72,€31M,€51K,2097
137,188377,K. Walker,RB,84,84,466,3,90,63,75,77,81,80,€24.5M,€165K,2175
138,186942,I. Gündoğan,CM CDM,84,84,448,3,68,74,83,84,69,70,€32M,€175K,2138
139,185020,José Callejón,RW,84,84,437,3,89,78,75,83,47,65,€27.5M,€105K,2045
140,183898,A. Di María,RW LW,84,84,441,4,84,76,82,86,47,66,€29.5M,€125K,2113
141,181783,M. Mandžukić,ST LW,84,84,445,3,70,78,71,75,66,85,€25M,€160K,2106
142,180403,Willian,RW,84,84,442,3,88,77,80,86,49,62,€30.5M,€175K,2052
143,178750,Sergio Asenjo,GK,84,85,467,2,85,83,77,84,56,82,€24M,€42K,1333
144,178562,E. Banega,CM CAM CDM,84,84,446,3,66,71,86,84,70,69,€29M,€31K,2133
145,177388,D. Payet,CAM LM,84,84,429,3,73,79,85,86,38,68,€27.5M,€75K,2053
146,176769,Jonas,ST,84,84,413,3,64,86,77,84,38,64,€16.5M,€25K,2023
147,172879,Sokratis,CB,84,84,396,3,69,51,50,60,84,82,€23M,€140K,1797
148,171919,Naldo,CB,84,84,415,3,62,69,64,61,86,73,€7.5M,€35K,1946
149,167628,S. Ruffier,GK,84,84,458,3,82,84,77,82,48,85,€19M,€41K,1254
150,167397,Falcao,ST,84,84,414,3,67,83,69,78,43,74,€25M,€115K,2026
151,163587,K. Schmeichel,GK,84,84,469,2,82,77,82,88,60,80,€19M,€78K,1351
152,157481,Raúl Albiol,CB,84,84,379,3,53,41,61,63,86,75,€18M,€88K,1765
153,143076,A. Gómez,CF LW ST,84,84,432,3,90,76,81,89,39,57,€30M,€53K,2049
154,137186,A. Barzagli,CB,84,84,386,3,70,34,57,64,89,72,€4.2M,€95K,1740
155,20775,Quaresma,RM LM,84,84,410,3,80,74,82,88,24,62,€15.5M,€80K,1983
156,9014,A. Robben,RM RW,84,84,426,4,79,85,80,88,32,62,€15.5M,€110K,2044
157,231443,O. Dembélé,RW LW,83,92,424,3,92,77,77,87,36,55,€40M,€155K,1993
158,230666,Gabriel Jesus,ST,83,92,437,2,86,80,72,87,39,73,€41M,€130K,2051
159,230481,Ronaldo Cabrais,RW CAM,83,83,438,1,87,77,83,84,35,72,€28M,€51K,2095
160,230375,Josué Chiamulera,CB,83,83,405,1,80,43,56,64,85,77,€22.5M,€43K,1894
161,230294,Louri Beretta,ST CF,83,83,407,1,81,84,62,72,33,75,€28.5M,€60K,1921
162,225850,P. Kimpembe,CB,83,89,415,2,77,39,67,67,82,83,€30.5M,€82K,1899
163,220971,N. Keïta,CM CDM CAM,83,88,439,2,68,73,78,88,64,68,€34M,€120K,2082
164,219683,C. Tolisso,CM CDM,83,88,461,2,70,77,79,78,76,81,€34M,€85K,2207
165,213565,T. Lemar,LM CAM RM,83,89,455,3,85,76,83,85,59,67,€35.5M,€64K,2173
166,213345,K. Coman,LM RM LW RW,83,87,416,2,94,76,75,86,25,60,€34M,€85K,1918
167,212523,Anderson Talisca,CAM CF CM,83,90,450,2,76,82,81,81,59,71,€36.5M,€18K,2142
168,212188,T. Werner,ST,83,87,424,3,93,79,67,83,35,67,€34.5M,€70K,1967
169,210008,A. Rabiot,CM CDM,83,87,463,2,74,74,79,80,77,79,€33M,€91K,2184
170,209658,L. Goretzka,CM CAM CDM,83,88,469,3,81,74,80,81,77,76,€34M,€85K,2203
171,208808,Q. Promes,LM ST RM,83,84,438,2,91,83,78,83,36,67,€30.5M,€28K,2056
172,208670,H. Ziyech,CAM RW,83,86,441,3,75,73,86,83,57,67,€32.5M,€28K,2098
173,208618,Lucas Vázquez,RW RM,83,83,438,2,83,73,82,82,51,67,€27M,€205K,2072
174,208418,Y. Carrasco,LM,83,86,434,3,88,79,75,87,41,64,€33M,€20K,2015
175,208093,Gerard Moreno,ST,83,85,419,1,79,81,66,78,45,70,€32M,€53K,1967
176,207863,Felipe,CB,83,83,390,3,64,41,58,59,83,85,€20M,€22K,1788
177,207410,M. Kovačić,CM,83,89,458,3,79,69,82,87,69,72,€35M,€165K,2115
178,206585,Kepa,GK,83,90,437,1,84,80,76,84,33,80,€27M,€84K,1223
179,206113,S. Gnabry,LM RM CAM LW,83,88,444,2,91,81,74,86,45,67,€34.5M,€85K,2041
180,204935,J. Pickford,GK,83,88,464,1,83,78,88,86,48,81,€25M,€78K,1435
181,204639,S. Savić,CB,83,86,362,2,58,35,54,57,84,74,€26M,€67K,1696
182,203574,J. Stones,CB,83,87,408,2,69,36,69,72,84,78,€28.5M,€125K,1858
184,202651,Suso,RW CF,83,86,413,3,80,76,83,87,33,54,€33M,€115K,1959
185,202166,J. Draxler,CM LW LM CAM,83,86,445,3,77,80,82,87,55,64,€32.5M,€91K,2112
186,201995,Felipe Anderson,LM,83,85,448,3,90,76,78,88,56,60,€31.5M,€110K,2046
187,200949,Lucas Moura,RM LM ST,83,84,439,3,92,77,75,86,42,67,€31M,€115K,2075
188,200888,Danilo Pereira,CDM CB CM,83,86,442,3,66,64,70,74,82,86,€27M,€21K,2028
189,200724,Nacho Fernández,CB LB RB,83,85,402,2,75,37,66,64,81,79,€24.5M,€180K,1855
190,200316,T. Horn,GK,83,87,462,2,83,80,83,86,48,82,€24M,€25K,1261
191,199914,Allan,CM,83,83,470,2,77,69,77,82,82,83,€26.5M,€87K,2157
192,199845,F. Acerbi,CB,83,83,400,2,60,50,61,63,86,80,€19M,€64K,1849
193,199564,Sergi Roberto,RB RM,83,86,454,3,79,63,82,79,79,72,€26.5M,€170K,2106
194,198329,Rodrigo,ST,83,84,439,2,90,79,73,82,44,71,€30.5M,€57K,2060
195,197965,Pizzi,CM,83,83,447,3,77,77,82,80,63,68,€25.5M,€22K,2149
196,195365,K. Kampl,CM CAM CDM,83,83,435,2,77,67,80,86,63,62,€26.5M,€74K,2076
197,194404,Neto,GK,83,84,454,2,85,79,79,82,51,78,€21M,€41K,1295
198,193698,O. Baumann,GK,83,84,450,2,82,82,70,85,49,82,€21M,€42K,1222
199,193474,I. Gueye,CDM CM,83,83,442,2,74,59,69,77,85,78,€21M,€125K,2058
200,192883,H. Mkhitaryan,RM CAM RW,83,83,442,3,81,77,78,85,52,69,€25.5M,€145K,2100
201,192638,Marcos Alonso,LB LWB,83,83,462,2,73,73,80,77,80,79,€21.5M,€130K,2198
202,192593,D. Subašić,GK,83,83,460,3,82,80,79,84,53,82,€13M,€70K,1284
203,190547,K. Glik,CB,83,83,346,3,51,32,44,53,83,83,€19M,€86K,1582
204,189712,K. Strootman,CDM CM,83,83,455,3,66,72,81,77,79,80,€21M,€66K,2139
205,189117,R. Bürki,GK,83,85,456,3,86,80,74,87,50,79,€21M,€54K,1253
206,189068,B. Dost,ST,83,83,385,3,52,83,57,65,45,83,€26M,€26K,1795
207,188152,Oscar,CAM CM,83,84,416,3,73,76,81,81,55,50,€30.5M,€29K,2027
208,186627,M. Balotelli,ST,83,83,416,4,79,84,73,79,24,77,€27.5M,€55K,1914
209,185221,Luiz Gustavo,CDM CB,83,83,430,3,64,60,71,70,82,83,€19M,€63K,2025
210,184942,Giuliano,CAM RW,83,83,444,2,82,78,79,84,46,75,€26M,€64K,2073
211,179944,David Luiz,CB,83,83,428,4,61,65,73,70,82,77,€17.5M,€130K,2074
212,179783,R. Fährmann,GK,83,84,428,2,83,81,52,87,43,82,€20M,€38K,1179
213,178088,Juan Mata,RM RW CAM,83,83,397,3,65,76,84,85,37,50,€24.5M,€160K,1984
214,178086,Adán,GK,83,83,465,2,81,84,78,83,55,84,€15.5M,€55K,1299
215,178005,Rui Patrício,GK,83,83,462,3,85,81,80,82,55,79,€16.5M,€74K,1352
216,177683,Y. Sommer,GK,83,84,458,3,78,84,80,85,51,80,€20M,€35K,1299
217,177610,Javi Martínez,CDM CB,83,83,409,3,51,55,70,64,86,83,€20M,€94K,1948
218,177457,L. Bender,CDM RB CM,83,83,440,3,67,64,73,72,85,79,€20M,€82K,2049
219,176266,Lucas Leiva,CDM,83,83,443,3,67,66,76,78,82,74,€17.5M,€64K,2095
220,163705,S. Mandanda,GK,83,83,448,3,86,81,70,84,48,79,€13M,€51K,1218
221,162895,Cesc Fàbregas,CM CDM,83,83,412,4,55,73,88,79,60,57,€22M,€140K,2040
222,162240,M. Dembélé,CM CDM,83,83,466,3,72,70,77,87,78,82,€24M,€120K,2177
223,156616,F. Ribéry,LM LW,83,83,404,4,78,74,81,85,30,56,€11.5M,€72K,1929
224,104389,R. Jarstein,GK,83,83,450,2,79,82,76,84,43,86,€13M,€33K,1191
225,53302,D. De Rossi,CDM,83,83,435,3,65,63,73,69,85,80,€8M,€80K,2101
226,24630,Pepe Reina,GK,83,83,466,3,80,83,82,82,57,82,€6M,€56K,1299
227,236583,J. Pavlenka,GK,82,85,430,1,85,78,68,85,36,78,€19.5M,€30K,1060
228,235243,M. de Ligt,CB,82,92,424,2,68,59,66,67,82,82,€28.5M,€11K,1940
229,231866,Rodri,CM CDM,82,87,440,1,68,67,76,78,76,75,€29M,€59K,2055
230,231677,M. Rashford,ST LW RW,82,90,448,2,92,80,75,83,42,76,€33.5M,€120K,2093
231,230658,Arthur,CM CDM,82,90,442,1,69,73,79,82,70,69,€32.5M,€125K,2120
232,230621,G. Donnarumma,GK,82,93,454,3,88,78,72,88,50,78,€29M,€23K,1278
233,230258,Rosberto Dourado,CDM CM,82,82,445,1,81,57,74,77,82,74,€16.5M,€46K,2061
234,230225,Juiano Mestres,CB CDM,82,82,413,1,71,61,57,62,82,80,€6.5M,€39K,2003
235,230168,Raphaelito Anjos,GK,82,82,443,1,79,84,77,78,42,83,€14M,€32K,1191
236,227055,Gelson Martins,RM,82,87,432,3,94,69,75,86,47,61,€29.5M,€59K,2023
237,224411,Gonçalo Guedes,LM ST RM LW,82,86,429,1,90,76,75,84,36,68,€29M,€36K,2008
238,223959,L. Torreira,CDM CM,82,87,452,2,77,62,78,80,81,74,€25M,€98K,2123
239,222737,Malcom,RW,82,89,419,2,84,79,80,85,27,64,€31.5M,€140K,1984
240,221087,Pau López,GK,82,87,455,1,81,82,79,81,49,83,€21.5M,€21K,1319
241,220814,L. Hernández,LB CB,82,88,430,1,82,47,69,71,81,80,€25.5M,€53K,1953
242,220440,C. Lenglet,CB,82,88,393,1,73,35,59,66,82,78,€26M,€135K,1775
243,216354,A. Kramarić,ST LW RW CAM,82,83,417,2,75,84,71,86,30,71,€26M,€54K,2014
245,216267,A. Robertson,LB,82,87,449,1,85,59,74,77,79,75,€24.5M,€98K,2033
246,216194,Dani García,CDM CM,82,83,401,2,43,58,74,71,75,80,€20M,€33K,1940
247,213331,J. Tah,CB,82,87,378,2,71,27,58,58,83,81,€25M,€61K,1671
248,212404,F. Bernardeschi,RM CF,82,87,445,2,83,76,80,86,56,64,€29.5M,€110K,2096
249,211320,D. Rugani,CB,82,86,378,2,62,39,53,64,85,75,€24.5M,€95K,1705
250,210617,Samu Castillejo,RM LM CM,82,86,420,2,86,75,80,84,43,52,€29M,€94K,1968
251,210514,João Cancelo,RB,82,88,468,2,91,65,78,83,77,74,€25.5M,€95K,2174
252,210413,A. Romagnoli,CB,82,89,390,2,66,40,53,66,85,80,€26.5M,€84K,1750
253,209989,T. Partey,CDM CM RM RB,82,88,455,1,75,67,74,77,80,82,€25.5M,€59K,2068
254,209297,Fred,CM,82,84,457,1,78,74,77,82,75,71,€26.5M,€140K,2180
255,208830,J. Vardy,ST,82,82,441,3,90,81,63,76,54,77,€20M,€96K,2077
256,208596,A. Belotti,ST,82,87,419,3,79,81,57,77,41,84,€30M,€58K,1962
257,208448,E. Forsberg,CAM LM,82,83,406,2,73,71,81,83,33,65,€26M,€67K,1936
258,207877,J. Martínez,ST,82,85,407,1,89,80,61,79,25,73,€28.5M,€15K,1926
259,207494,J. Lingard,CAM RW,82,83,442,2,83,78,76,83,56,66,€26.5M,€140K,2095
260,207471,F. Vázquez,CAM CM RW LW,82,82,419,2,60,77,80,82,47,73,€21.5M,€27K,1969
261,206545,Manu Trigueros,CM CDM LM,82,83,436,2,65,74,81,79,69,68,€25.5M,€45K,2095
262,205678,E. Višća,RM RW,82,82,436,2,89,79,75,83,47,63,€22.5M,€40K,2054
263,205452,A. Rüdiger,CB,82,84,402,2,73,40,67,63,82,77,€22.5M,€110K,1843
264,203551,A. Florenzi,RB,82,83,471,3,85,77,76,80,77,76,€20.5M,€73K,2253
265,203486,T. Hazard,RW LW CF,82,84,426,2,81,76,79,86,39,65,€27M,€43K,2020
266,203263,H. Maguire,CB,82,85,393,1,47,49,63,70,82,82,€23.5M,€77K,1854
267,202371,T. Meunier,RB RM,82,83,468,2,78,76,77,75,78,84,€21M,€87K,2162
268,201956,S. Sané,CB CDM,82,82,405,2,62,49,65,65,84,80,€18.5M,€41K,1840
269,201455,G. Kondogbia,CM CDM,82,85,469,2,73,73,75,79,81,88,€27.5M,€46K,2171
270,201400,Rafinha,CAM CM,82,87,441,2,70,76,79,85,69,62,€29.5M,€165K,2091
271,201305,Gabriel Paulista,CB,82,83,417,2,73,49,68,65,82,80,€21M,€44K,1959
272,201153,Morata,ST,82,84,413,3,82,78,71,80,31,71,€27.5M,€135K,1886
273,200454,Paco Alcácer,ST,82,85,409,2,81,81,66,80,37,64,€28.5M,€64K,1960
274,199987,J. Cillessen,GK,82,84,451,3,80,83,75,80,52,81,€18M,€135K,1292
275,199451,W. Ben Yedder,ST,82,82,426,2,85,79,76,85,39,62,€23.5M,€28K,2042
276,198951,C. Bakambu,ST,82,83,432,2,88,81,72,80,35,76,€26M,€33K,2010
277,198950,Pablo Sarabia,RM CM LM,82,83,430,2,76,76,83,84,53,58,€26M,€26K,2027
278,198717,W. Zaha,CF LM RM,82,85,427,2,91,74,73,88,27,74,€28.5M,€78K,1930
279,198706,Luis Alberto,CF CAM CM,82,84,414,2,74,77,85,85,33,60,€27.5M,€67K,1941
280,198164,Jonathan Viera,CAM CM,82,82,451,2,81,75,81,84,61,69,€22.5M,€31K,2152
281,198141,Bartra,CB RB,82,83,430,3,73,58,71,74,81,73,€21M,€32K,2032
282,197655,S. Coates,CB,82,83,380,3,56,43,52,59,83,87,€21M,€19K,1714
283,195093,Willian José,ST,82,83,408,2,64,82,66,76,40,80,€26.5M,€44K,1945
284,193525,Mário Fernandes,RWB RM,82,82,452,2,82,60,73,77,81,79,€18.5M,€1K,2102
285,193348,X. Shaqiri,RW RM CAM,82,82,439,3,80,77,81,85,46,70,€24M,€140K,2090
286,193283,T. Delaney,CDM CM,82,83,465,2,77,73,75,75,82,83,€21.5M,€61K,2212
